SEMUA KATA BERDASARKAN SKOR TF-IDF
==================================================

Total kata unik: 1000

234. depan                : 1.6368
235. tentu                : 1.6321
236. the                  : 1.6238
237. mreka                : 1.6231
238. demokrasi            : 1.6163
239. template             : 1.6128
240. ngga                 : 1.6093
241. tangan               : 1.6086
242. efisiensi            : 1.6082
243. isu                  : 1.6080
244. alat                 : 1.5999
245. sabar                : 1.5887
246. usaha                : 1.5852
247. dapet                : 1.5708
248. mulyono              : 1.5657
249. kalah                : 1.5583
250. panas                : 1.5569
251. bubar                : 1.5539
252. jakarta              : 1.5519
253. jdi                  : 1.5519
254. cemas                : 1.5423
255. tambah               : 1.5297
256. oknum                : 1.5274
257. ngerti               : 1.5171
258. blom                 : 1.5163
259. kepala               : 1.5152
260. nama                 : 1.5088
261. harus                : 1.5081
262. anggar               : 1.5045
263. pake                 : 1.5028
264. uud                  : 1.4991
265. umur                 : 1.4983
266. tragedi              : 1.4971
267. gue                  : 1.4877
268. tdk                  : 1.4815
269. begini               : 1.4766
270. masalah              : 1.4722
271. cek                  : 1.4596
272. anjir                : 1.4546
273. cari                 : 1.4539
274. mulai                : 1.4488
275. doa                  : 1.4431
276. ubah                 : 1.4408
277. oke                  : 1.4395
278. dlu                  : 1.4341
279. jauh                 : 1.4298
280. merdeka              : 1.4151
281. laku                 : 1.4139
282. mantap               : 1.4128
283. langka               : 1.4121
284. tidur                : 1.4080
285. panjang              : 1.4036
286. prioritas            : 1.4034
287. lebih                : 1.4016
288. kasih                : 1.3978
289. film                 : 1.3877
290. sebut                : 1.3860
291. sila                 : 1.3839
292. cinta                : 1.3808
293. utk                  : 1.3745
294. jual                 : 1.3722
295. neng                 : 1.3703
296. kelas                : 1.3670
297. datang               : 1.3634
298. bnyak                : 1.3598
299. mikirin              : 1.3592
300. tikus                : 1.3565
301. awal                 : 1.3439
302. ilang                : 1.3420
303. halang               : 1.3397
304. gada                 : 1.3346
305. blm                  : 1.3318
306. selalu               : 1.3302
307. peduli               : 1.3297
308. serah                : 1.3263
309. bukti                : 1.3231
310. kembali              : 1.3231
311. nanti                : 1.3229
312. noh                  : 1.3217
313. subianto             : 1.3212
314. gemoy                : 1.3203
315. buzer                : 1.3162
316. awas                 : 1.3133
317. emas                 : 1.3111
318. kiamat               : 1.3079
319. wni                  : 1.3033
320. percaya              : 1.2991
321. cerdas               : 1.2988
322. keluar               : 1.2875
323. gibran               : 1.2874
324. milik                : 1.2863
325. rendah               : 1.2844
326. sby                  : 1.2814
327. paham                : 1.2786
328. anies                : 1.2785
329. dark                 : 1.2777
330. dekat                : 1.2758
331. bapak                : 1.2722
332. tiap                 : 1.2707
333. nyadar               : 1.2695
334. trus                 : 1.2691
335. kritik               : 1.2666
336. kaga                 : 1.2664
337. wakil                : 1.2641
338. program              : 1.2600
339. sedikit              : 1.2567
340. naik                 : 1.2544
341. rumah                : 1.2513
342. kasi                 : 1.2486
343. cepat                : 1.2465
344. berita               : 1.2413
345. lanjut               : 1.2275
346. lulus                : 1.2268
347. tuhan                : 1.2262
348. krn                  : 1.2241
349. yaa                  : 1.2188
350. dengerin             : 1.2177
351. tempat               : 1.1940
352. beliau               : 1.1937
353. untung               : 1.1903
354. dengar               : 1.1888
355. listrik              : 1.1882
356. bersih               : 1.1810
357. waktu                : 1.1792
358. otak                 : 1.1749
359. jir                  : 1.1731
360. nunggu               : 1.1717
361. malaysia             : 1.1697
362. skincare             : 1.1663
363. fakta                : 1.1636
364. beri                 : 1.1591
365. dua                  : 1.1580
366. sadar                : 1.1552
367. buruk                : 1.1549
368. ibu                  : 1.1542
369. gmn                  : 1.1532
370. sempurna             : 1.1491
371. smua                 : 1.1438
372. abis                 : 1.1418
373. sikap                : 1.1266
374. paksa                : 1.1205
375. tani                 : 1.1197
376. baca                 : 1.1015
377. gila                 : 1.1000
378. gara                 : 1.0993
379. ndasmu               : 1.0983
380. mna                  : 1.0958
381. berapa               : 1.0946
382. tunggu               : 1.0916
383. besar                : 1.0881
384. ngk                  : 1.0879
385. skrg                 : 1.0854
386. judol                : 1.0848
387. ngapain              : 1.0837
388. hasil                : 1.0733
389. dri                  : 1.0717
390. tiktok               : 1.0707
391. emg                  : 1.0693
392. tegak                : 1.0653
393. mudah                : 1.0617
394. sengsara             : 1.0613
395. rugi                 : 1.0612
396. suka                 : 1.0530
397. kasus                : 1.0510
398. bangga               : 1.0506
399. org                  : 1.0499
400. pesimis              : 1.0447
401. memang               : 1.0438
402. dgn                  : 1.0390
403. info                 : 1.0378
404. bpk                  : 1.0377
405. bngt                 : 1.0345
406. muka                 : 1.0343
407. uda                  : 1.0342
408. bangsa               : 1.0294
409. bantu                : 1.0290
410. dampak               : 1.0239
411. akhir                : 1.0239
412. adem                 : 1.0226
413. sosial               : 1.0196
414. orde                 : 1.0192
415. sdm                  : 1.0090
416. hhhhhmmmm            : 1.0000
417. kerjain              : 1.0000
418. okegas               : 1.0000
419. ktanya               : 1.0000
420. louder               : 1.0000
421. malu                 : 1.0000
422. jawahama             : 1.0000
423. lucuuu               : 1.0000
424. lanjuuuttttt         : 1.0000
425. laper                : 1.0000
426. viralkan             : 1.0000
427. wallahi              : 1.0000
428. agustus              : 1.0000
429. ahahahahhahahahahahahahhhhhahhhahahhhhhhhhhahahahhahahahahahaahahahhahahahahahahhahhahahhahahahahahhhhhhahhhahahhahahahahahhhahahhhhhhhhhhhhhahahahhahahahahahahahahahhahahahahahahahahahhahahahahaahahh : 1.0000
430. lang                 : 1.0000
431. lanjuttkan           : 1.0000
432. lawannnn             : 1.0000
433. beberapa             : 0.9984
434. sesal                : 0.9924
435. atas                 : 0.9912
436. siapa                : 0.9844
437. tanah                : 0.9840
438. guna                 : 0.9833
439. urus                 : 0.9833
440. heran                : 0.9787
441. loh                  : 0.9785
442. ganjar               : 0.9718
443. aman                 : 0.9714
444. masing               : 0.9713
445. belum                : 0.9679
446. cok                  : 0.9672
447. sejahtera            : 0.9654
448. bagi                 : 0.9641
449. sedia                : 0.9637
450. periksa              : 0.9624
451. miskin               : 0.9624
452. hastag               : 0.9601
453. bangkit              : 0.9593
454. tetep                : 0.9581
455. bagus                : 0.9567
456. diem                 : 0.9542
457. bodoh                : 0.9514
458. garuda               : 0.9478
459. pro                  : 0.9466
460. ikan                 : 0.9446
461. wowo                 : 0.9368
462. kagak                : 0.9356
463. knapa                : 0.9302
464. diskon               : 0.9296
465. nkri                 : 0.9229
466. ortu                 : 0.9215
467. daerah               : 0.9184
468. loe                  : 0.9169
469. gerak                : 0.9104
470. instan               : 0.9096
471. selesai              : 0.9085
472. cuman                : 0.9075
473. kesibukanya          : 0.9043
474. justice              : 0.9043
475. lgii                 : 0.9043
476. buka                 : 0.9032
477. pesan                : 0.8984
478. warga                : 0.8981
479. anis                 : 0.8980
480. kyk                  : 0.8971
481. mahabodo             : 0.8926
482. jujur                : 0.8923
483. mahasiwanya          : 0.8912
484. lekas                : 0.8909
485. ttp                  : 0.8908
486. sukatani             : 0.8895
487. rasa                 : 0.8893
488. proses               : 0.8791
489. sumpah               : 0.8778
490. sibuk                : 0.8778
491. kocak                : 0.8749
492. gabah                : 0.8734
493. pdhl                 : 0.8730
494. lantik               : 0.8725
495. biarin               : 0.8616
496. jga                  : 0.8597
497. pantes               : 0.8596
498. kader                : 0.8589
499. gambar               : 0.8546
500. maksud               : 0.8532
501. ajar                 : 0.8517
502. rubah                : 0.8511
503. tenang               : 0.8507
504. hamasiswa            : 0.8499
505. bingung              : 0.8470
506. kucil                : 0.8466
507. tambahin             : 0.8463
508. tumbang              : 0.8461
509. mertua               : 0.8461
510. bos                  : 0.8456
511. dalang               : 0.8425
512. mas                  : 0.8425
513. poin                 : 0.8403
514. gen                  : 0.8391
515. gaji                 : 0.8370
516. laut                 : 0.8361
517. pagar                : 0.8361
518. bkn                  : 0.8338
519. apa                  : 0.8325
520. wajib                : 0.8282
521. sengaja              : 0.8269
522. wujud                : 0.8236
523. aneh                 : 0.8234
524. boss                 : 0.8207
525. heboh                : 0.8199
526. kmrn                 : 0.8180
527. pasti                : 0.8175
528. kocakkk              : 0.8167
529. atur                 : 0.8156
530. hrga                 : 0.8131
531. makmur               : 0.8107
532. kicep                : 0.8076
533. mah                  : 0.8046
534. tengah               : 0.8038
535. isi                  : 0.8033
536. perlu                : 0.8030
537. gerinda              : 0.8030
538. maaf                 : 0.8022
539. buru                 : 0.8009
540. insha                : 0.7948
541. insya                : 0.7948
542. berfikir             : 0.7915
543. suatu                : 0.7865
544. president            : 0.7823
545. kkn                  : 0.7823
546. jilid                : 0.7800
547. sulit                : 0.7783
548. lahir                : 0.7779
549. sah                  : 0.7760
550. stop                 : 0.7726
551. pahlawan             : 0.7720
552. kampus               : 0.7709
553. wel                  : 0.7628
554. damai                : 0.7595
555. kabut                : 0.7587
556. rata                 : 0.7584
557. ngomong              : 0.7574
558. kpk                  : 0.7555
559. kopi                 : 0.7543
560. oposisi              : 0.7471
561. tanya                : 0.7467
562. dungu                : 0.7467
563. das                  : 0.7460
564. tabrak               : 0.7460
565. mahasiswamabarr      : 0.7419
566. injak                : 0.7419
567. lucuuuuuuu           : 0.7419
568. lima                 : 0.7419
569. ucap                 : 0.7403
570. karna                : 0.7402
571. ilmu                 : 0.7397
572. betul                : 0.7378
